product_name,category,supplier_name,units_sold,total_revenue,margin_pct,revenue_rank
Rain Coat,Apparel,FastTrack Suppliers,10735,3619197.9,46.9,1
Rice Cooker,Sports,CoreTrade Ltd.,10877,3214371.04,53.0,2
Stuffed Animal,Apparel,DeltaSource Inc.,11744,2857315.2,49.8,3
Sports Water Bottle,Toys,BlueLine Supply,8678,2844908.74,59.5,4
Cutting Board,Sports,BlueLine Supply,9338,2626125.74,45.0,5
Board Game,Apparel,FastTrack Suppliers,9993,2585588.82,38.8,6
Winter Jacket,Electronics,DeltaSource Inc.,8588,2573050.68,54.2,7
USB-C Hub,Toys,GlobalMart Vendors,11316,2373983.64,39.1,8
Gym Gloves,Home & Kitchen,FastTrack Suppliers,8224,2145723.84,33.9,9
Pull-Up Bar,Toys,Apex Goods Co.,10077,2062056.51,51.4,10
